word	freq	tag	base	lemma
lehajlott	5	3sg.past.indef	lehajlott	lehajl
megemésztett	5	3sg.past.indef	emésztett	emészt
megesküdt	5	3sg.past.indef	esküdt	esküd
megfehérített	5	3sg.past.indef	fehérített	fehérít
megkeményítette	5	3sg.past.def	keményítette	keményít
megkente	5	3sg.past.def	kente	ken
meglett	5	3sg.past.indef	lett	l
megnehezedett	5	3sg.past.indef	nehezedett	nehezed
megtalálta	5	3sg.past.def	találta	talál
megvakította	5	3sg.past.def	vakította	vakít
megvirradott	5	3sg.past.indef	virradott	virrad
megírta	5	3sg.past.def	írta	ír
megüdvözített	5	3sg.past.indef	üdvözített	üdvözít
mártott	5	3sg.past.indef	mártott	márt
múlt	5	3sg.past.indef	múlt	múl
rakta	5	3sg.past.def	rakta	rak
rendelt	5	3sg.past.indef	rendelt	rendel
származott	5	3sg.past.indef	származott	származ
szülte	5	3sg.past.def	szülte	szül
sült	5	3sg.past.indef	sült	sül
tanított	5	3sg.past.indef	tanított	tanít
tartotta	5	3sg.past.def	tartotta	tart
változtatta	5	3sg.past.def	változtatta	változtat
érte	5	3sg.past.def	érte	ér
űzött	5	3sg.past.indef	űzött	űz
vala	9084	3sg.ipf.indef	vala	val
mondá	4814	3sg.ipf.def	mondá	mond
monda	681	3sg.ipf.indef	monda	mond
felele	581	3sg.ipf.indef	ele	el
mene	347	3sg.ipf.indef	mene	men
jöve	295	3sg.ipf.indef	jöve	jöv
elmene	263	3sg.ipf.indef	mene	men
kimene	202	3sg.ipf.indef	mene	men
nemzé	195	3sg.ipf.def	nemzé	nemz
látá	178	3sg.ipf.def	látá	lát
bemene	153	3sg.ipf.indef	mene	men
adá	152	3sg.ipf.def	adá	ad
kezde	152	3sg.ipf.indef	kezde	kezd
eljöve	151	3sg.ipf.indef	jöve	jöv
kezdé	136	3sg.ipf.def	kezdé	kezd
vevé	133	3sg.ipf.def	vevé	vev
szóla	121	3sg.ipf.indef	szóla	szól
láta	106	3sg.ipf.indef	láta	lát
ada	105	3sg.ipf.indef	ada	ad
megkérdé	99	3sg.ipf.def	kérdé	kérd
illeté	85	3sg.ipf.def	illeté	illet
felkele	83	3sg.ipf.indef	kele	kel
felelé	72	3sg.ipf.def	elé	el
parancsola	68	3sg.ipf.indef	parancsola	parancsol
elbocsátá	67	3sg.ipf.def	bocsátá	bocsát
