elpd_diff	se_diff	elpd_loo	se_elpd_loo	p_loo	se_p_loo	looic	se_looic
0	0	-6140.34462296909	188.264290202621	101.273281474918	13.2642856216498	12280.6892459382	376.528580405241
-1.02453812988494	2.6407643167608	-6141.36916109898	189.493353337495	105.198948143845	13.6820561755013	12282.738322198	378.98670667499
-1.02810944364218	3.68047919566613	-6141.37273241273	190.055289485148	105.505060600558	14.0815095295587	12282.7454648255	380.110578970296
