term	estimate	std.error	conf.low	conf.high
(Intercept)	0.4376817203352844	0.10239155925697556	0.27265171971824526	0.5964353314766238
log_lemma_freq_scaled	0.05509871111472295	0.1283111465172955	-0.14394710222044815	0.26594608270341996
translation.L	-0.04781518334702924	0.04078031100990226	-0.11515170893014859	0.018805470598653198
translation.Q	-0.2418985530396155	0.038986852312570854	-0.304057799708278	-0.17608371976146223
translation.C	0.33147509642722883	0.04407473408135426	0.26134231880724174	0.40131559587905236
translation^4	-0.015248033217112947	0.03884491676427583	-0.08107285112902693	0.05073012697015553
translation^5	0.20071434662902687	0.039913901432197946	0.13526036191889737	0.2677099718604737
translation^6	-0.016224486561222124	0.04075427068201192	-0.08447745684813536	0.05185833775078193
numberP	0.17808517802972806	0.034749275271977936	0.11666451823123572	0.23600301439574795
person2	-2.4488409464823273	0.09327048447163473	-2.606128270248918	-2.295974471320891
person1	-2.8177059754638227	0.08324681699501169	-2.956684174702759	-2.6802981132732744
prefixprefixed verb	0.4555815916763012	0.04659764922971446	0.3775035739754795	0.5307616058179339
motion_verbmotion verb	0.133729848458234	0.04583727631059562	0.05693888897269536	0.2084764977951909
communication_verbcommunicative verb	2.3008019031188214	0.06140684745777117	2.192913705245049	2.400857333899619
modal_verbmodal verb	-0.10937774318846469	0.15180994151896376	-0.36204673967971457	0.14366612411670196
lemma_length	-0.6056421835136359	0.17068339378694283	-0.8881737664935575	-0.32271334435282506
